Accuracy,Misprediction Rate,F1,Runtime,Size,Tracefile,Predictor
0.6858000000000001,31.420000000000005,0.6764,1.4659999999999997,194.0,gcc_trace.txt,GShare
0.6707,32.93,0.6582,1.4599999999999997,196.0,gcc_trace.txt,GShare
0.6530000000000001,34.7,0.6421,1.46,198.0,gcc_trace.txt,GShare
0.7644,23.56,0.7606,1.4600000000000002,770.0,gcc_trace.txt,GShare
0.7504,24.96,0.7460000000000001,1.459,772.0,gcc_trace.txt,GShare
0.7247000000000001,27.53,0.7188,1.455,774.0,gcc_trace.txt,GShare
0.7047,29.529999999999994,0.6965000000000001,1.457,776.0,gcc_trace.txt,GShare
0.4908,50.92,0.5994,6.187,20525.0,gcc_trace.txt,Tournament2
0.4997,50.029999999999994,0.6228999999999999,6.141,19497.0,gcc_trace.txt,Tournament2
0.49190000000000006,50.81,0.614,6.071,19511.0,gcc_trace.txt,Tournament2
0.49800000000000005,50.2,0.6131,6.095000000000001,19561.0,gcc_trace.txt,Tournament2
0.49169999999999997,50.83,0.6041,6.103,19755.0,gcc_trace.txt,Tournament2
0.4962,50.38,0.6238,6.117000000000001,78893.0,gcc_trace.txt,Tournament2
0.5026,49.74,0.6269,6.131,81967.0,gcc_trace.txt,Tournament2
0.49749999999999994,50.25,0.6335,6.088000000000001,77865.0,gcc_trace.txt,Tournament2
0.4989,50.11,0.6321000000000001,6.0729999999999995,77879.0,gcc_trace.txt,Tournament2
0.5004,49.959999999999994,0.6304,6.072,77929.0,gcc_trace.txt,Tournament2
0.4986,50.14,0.6271000000000001,6.0649999999999995,78123.0,gcc_trace.txt,Tournament2
0.5062999999999999,49.37,0.6424000000000001,6.106,312365.0,gcc_trace.txt,Tournament2
0.5075000000000001,49.25,0.6421,6.104,315439.0,gcc_trace.txt,Tournament2
0.5069,49.31,0.6403,6.106,327729.0,gcc_trace.txt,Tournament2
0.5001999999999999,49.980000000000004,0.6392,6.08,311337.0,gcc_trace.txt,Tournament2
0.502,49.8,0.6393000000000001,6.077,311351.0,gcc_trace.txt,Tournament2
0.5038,49.62,0.6403999999999999,6.054,311401.0,gcc_trace.txt,Tournament2
0.5049,49.51,0.6411999999999999,6.085,311595.0,gcc_trace.txt,Tournament2
0.5121,48.790000000000006,0.6510999999999999,6.1129999999999995,1246253.0,gcc_trace.txt,Tournament2
0.5151000000000001,48.49,0.6533999999999999,6.098999999999999,1249327.0,gcc_trace.txt,Tournament2
0.5171,48.290000000000006,0.6547,6.114,1261617.0,gcc_trace.txt,Tournament2
0.5191999999999999,48.08,0.6565000000000001,6.112,1310771.0,gcc_trace.txt,Tournament2
0.5012999999999999,49.87,0.641,6.088,1245225.0,gcc_trace.txt,Tournament2
0.5043,49.57,0.6429,6.074,1245239.0,gcc_trace.txt,Tournament2
0.5068,49.32,0.6453,6.0760000000000005,1245289.0,gcc_trace.txt,Tournament2
0.5091,49.09000000000001,0.6482,6.053,1245483.0,gcc_trace.txt,Tournament2
0.609,39.10000000000001,0.6431000000000001,8.072,117.0,gcc_trace.txt,Tournament2
0.4622,53.779999999999994,0.5206999999999999,6.11,345.0,gcc_trace.txt,Tournament2
0.4699,53.010000000000005,0.5237,6.098000000000001,359.0,gcc_trace.txt,Tournament2
0.4749999999999999,52.5,0.5557999999999998,6.093,1257.0,gcc_trace.txt,Tournament2
0.4673,53.27,0.5435,6.084999999999999,1271.0,gcc_trace.txt,Tournament2
0.47329999999999994,52.67,0.5416999999999998,6.077,1321.0,gcc_trace.txt,Tournament2
0.4878,51.220000000000006,0.5937,6.088,4905.0,gcc_trace.txt,Tournament2
0.48630000000000007,51.36999999999999,0.5879000000000001,6.079,4919.0,gcc_trace.txt,Tournament2
0.4827000000000001,51.73,0.5763,6.089,4969.0,gcc_trace.txt,Tournament2
0.4767,52.33,0.5643,6.0889999999999995,5163.0,gcc_trace.txt,Tournament2
0.7648,23.520000000000003,0.7577,1.671,35850.0,gcc_trace.txt,GShare_ML-running_mean2
0.8240000000000001,17.6,0.8213000000000001,1.656,35842.0,gcc_trace.txt,GShare_ML-running_mean2
0.8141999999999999,18.579999999999995,0.8097999999999999,1.6469999999999998,35844.0,gcc_trace.txt,GShare_ML-running_mean2
0.7937000000000001,20.63,0.7897,1.6529999999999998,35846.0,gcc_trace.txt,GShare_ML-running_mean2
0.7794999999999999,22.050000000000004,0.7733,1.655,35848.0,gcc_trace.txt,GShare_ML-running_mean2
0.8306000000000001,16.94,0.8274000000000001,1.6589999999999996,143370.0,gcc_trace.txt,GShare_ML-running_mean2
0.8232000000000002,17.68,0.8209,1.65,143372.0,gcc_trace.txt,GShare_ML-running_mean2
0.8692,13.080000000000002,0.8675,1.658,143362.0,gcc_trace.txt,GShare_ML-running_mean2
0.8605,13.95,0.8587,1.7259999999999998,143364.0,gcc_trace.txt,GShare_ML-running_mean2
0.8472,15.279999999999998,0.8454,1.6389999999999998,143366.0,gcc_trace.txt,GShare_ML-running_mean2
0.8379,16.21,0.8354000000000001,1.6319999999999997,143368.0,gcc_trace.txt,GShare_ML-running_mean2
0.8713999999999998,12.86,0.8711,1.671,573450.0,gcc_trace.txt,GShare_ML-running_mean2
0.8642999999999998,13.569999999999999,0.8640000000000001,1.6740000000000002,573452.0,gcc_trace.txt,GShare_ML-running_mean2
0.8568,14.319999999999999,0.8562,1.674,573454.0,gcc_trace.txt,GShare_ML-running_mean2
0.8854,11.460000000000003,0.8844,1.654,573442.0,gcc_trace.txt,GShare_ML-running_mean2
0.8805,11.95,0.8796000000000002,1.6369999999999998,573444.0,gcc_trace.txt,GShare_ML-running_mean2
0.8760999999999999,12.39,0.8756,1.6510000000000002,573446.0,gcc_trace.txt,GShare_ML-running_mean2
0.8735000000000002,12.650000000000002,0.8731,1.6489999999999998,573448.0,gcc_trace.txt,GShare_ML-running_mean2
0.8895,11.05,0.8905999999999998,1.6760000000000002,2293770.0,gcc_trace.txt,GShare_ML-running_mean2
0.8876,11.239999999999998,0.8890999999999998,1.6799999999999997,2293772.0,gcc_trace.txt,GShare_ML-running_mean2
0.8848,11.52,0.8867,1.693,2293774.0,gcc_trace.txt,GShare_ML-running_mean2
0.8836999999999999,11.629999999999999,0.8859999999999999,1.7089999999999996,2293776.0,gcc_trace.txt,GShare_ML-running_mean2
0.8908000000000001,10.92,0.8901,1.652,2293762.0,gcc_trace.txt,GShare_ML-running_mean2
0.8889999999999999,11.099999999999998,0.8887,1.641,2293764.0,gcc_trace.txt,GShare_ML-running_mean2
0.8875,11.25,0.8878,1.6420000000000001,2293766.0,gcc_trace.txt,GShare_ML-running_mean2
0.8895,11.05,0.8901999999999999,1.6480000000000001,2293768.0,gcc_trace.txt,GShare_ML-running_mean2
0.5869,41.31,0.5458,1.682,142.0,gcc_trace.txt,GShare_ML-running_mean2
0.6196,38.040000000000006,0.588,1.6629999999999998,562.0,gcc_trace.txt,GShare_ML-running_mean2
0.6121999999999999,38.779999999999994,0.5826,1.656,564.0,gcc_trace.txt,GShare_ML-running_mean2
0.6784999999999999,32.14999999999999,0.6601999999999999,1.6629999999999998,2242.0,gcc_trace.txt,GShare_ML-running_mean2
0.6643999999999999,33.56,0.6411999999999999,1.652,2244.0,gcc_trace.txt,GShare_ML-running_mean2
0.6477000000000002,35.230000000000004,0.6246,1.6549999999999998,2246.0,gcc_trace.txt,GShare_ML-running_mean2
0.7572,24.28,0.7491000000000001,1.6640000000000001,8962.0,gcc_trace.txt,GShare_ML-running_mean2
0.7432,25.68,0.7339,1.656,8964.0,gcc_trace.txt,GShare_ML-running_mean2
0.7177,28.23,0.7054,1.6510000000000002,8966.0,gcc_trace.txt,GShare_ML-running_mean2
0.6980000000000001,30.2,0.6818,1.661,8968.0,gcc_trace.txt,GShare_ML-running_mean2
0.76,24.0,0.7437000000000001,4.6770000000000005,15370.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.8324,16.759999999999998,0.8251,4.608,15362.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.8137000000000001,18.63,0.8035,4.558,15364.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.7896,21.04,0.7773000000000001,4.5840000000000005,15366.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.7728,22.72,0.758,4.606,15368.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.8459,15.41,0.8403,4.796999999999999,61450.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.8408,15.919999999999998,0.8356999999999999,4.819,61452.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.8878999999999999,11.210000000000003,0.8849,4.62,61442.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.8772,12.28,0.8741,4.65,61444.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.8603,13.970000000000002,0.8561,4.677,61446.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.8511,14.889999999999997,0.8459,4.774,61448.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.8915000000000001,10.849999999999998,0.8901,4.947,245770.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.8897,11.03,0.8886,5.005,245772.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.8867,11.33,0.8855999999999999,5.046999999999999,245774.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.9051000000000002,9.489999999999998,0.9033999999999999,4.651,245762.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.8987999999999999,10.120000000000001,0.8972,4.6690000000000005,245764.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.8911,10.89,0.8896,4.744,245766.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.8903000000000001,10.97,0.8888999999999999,4.873,245768.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.9017,9.83,0.9018,4.970000000000001,983050.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.9019,9.81,0.9026,5.066,983052.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.9021000000000001,9.789999999999997,0.9032,5.166,983054.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.9031,9.69,0.9045,5.274,983056.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.9099,9.010000000000002,0.9087,4.647,983042.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.9059000000000001,9.41,0.9049999999999999,4.708,983044.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.8990000000000002,10.099999999999998,0.8981999999999999,4.769,983046.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.9011999999999999,9.879999999999999,0.901,4.861,983048.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.5786999999999999,42.13,0.5385,4.453999999999999,62.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.6044,39.56,0.571,4.512,242.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.5978000000000001,40.220000000000006,0.5704,4.487,244.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.6636,33.64,0.6437,4.511999999999999,962.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.6451,35.49,0.6112,4.482,964.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.6296,37.040000000000006,0.5957,4.484999999999999,966.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.7469,25.31,0.7283,4.505000000000001,3842.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.7264999999999999,27.35,0.7034,4.504,3844.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.6982999999999999,30.170000000000005,0.6723999999999999,4.474,3846.0,gcc_trace.txt,GShare_ML-nearest_pattern
